1,1,2つ名装備,大雪主シリーズ,110,G級770,0,-20,15,-10,20,0,"[""回復速度+2"", ""真・大雪主の魂"", ""飛燕"", ""大雪主の魂""]","[[""回復速度"", ""+"", ""15""], [""真・大雪主"", ""+"", ""10""], [""跳躍"", ""+"", ""10""], [""大雪主"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士大雪主.html,1
2,1,2つ名装備,天眼シリーズ,580,G級870,0,0,15,-15,5,-10,"[""真・天眼の魂"", ""軽業師"", ""天眼の魂"", ""泡沫の舞""]","[[""真・天眼"", ""+"", ""10""], [""回避術"", ""+"", ""10""], [""天眼"", ""+"", ""10""], [""泡沫"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士天眼.html,1
3,1,2つ名装備,宝纏シリーズ,350,G級890,0,20,-20,5,5,-10,"[""強運"", ""切り札"", ""真・宝纏の魂"", ""宝纏の魂""]","[[""運気"", ""+"", ""15""], [""チャンス"", ""+"", ""11""], [""真・宝纏"", ""+"", ""10""], [""宝纏"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士宝纏.html,1
4,1,2つ名装備,岩穿シリーズ,260,G級800,0,15,-15,-10,0,0,"[""ガード性能+2"", ""真・岩穿の魂"", ""弱点特効"", ""岩穿の魂""]","[[""ガード性能"", ""+"", ""15""], [""真・岩穿"", ""+"", ""10""], [""痛撃"", ""+"", ""10""], [""岩穿"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士岩穿.html,1
5,1,2つ名装備,朧隠シリーズ,530,G級780,0,-10,-15,5,5,5,"[""真・朧隠の魂"", ""朧隠の魂"", ""明鏡止水"", ""隠密""]","[[""真・朧隠"", ""+"", ""10""], [""朧隠"", ""+"", ""10""], [""無心"", ""+"", ""10""], [""気配"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士朧隠.html,1
6,1,2つ名装備,燼滅刃シリーズ,350,G級890,0,20,-15,5,-10,0,"[""真・燼滅刃の魂"", ""燼滅刃の魂"", ""精霊の加護"", ""剛刃研磨""]","[[""真・燼滅刃"", ""+"", ""10""], [""燼滅刃"", ""+"", ""10""], [""加護"", ""+"", ""10""], [""研磨術"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士燼滅刃.html,1
7,1,2つ名装備,白疾風シリーズ,220,G級760,0,-10,5,-15,0,0,"[""真・白疾風の魂"", ""白疾風の魂"", ""回避距離UP"", ""超会心""]","[[""真・白疾風"", ""+"", ""10""], [""白疾風"", ""+"", ""10""], [""回避距離"", ""+"", ""10""], [""会心強化"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士白疾風.html,1
8,1,2つ名装備,矛砕シリーズ,150,G級810,0,0,20,-20,0,0,"[""真・矛砕の魂"", ""矛砕の魂"", ""死中に活"", ""泡沫の舞""]","[[""真・矛砕"", ""+"", ""10""], [""矛砕"", ""+"", ""10""], [""窮地"", ""+"", ""10""], [""泡沫"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士矛砕.html,1
9,1,2つ名装備,紅兜シリーズ,130,G級790,0,-10,10,5,-5,0,"[""体術+2"", ""真・紅兜の魂"", ""防御力UP【小】"", ""紅兜の魂""]","[[""体術"", ""+"", ""15""], [""真・紅兜"", ""+"", ""10""], [""防御"", ""+"", ""10""], [""紅兜"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士紅兜.html,1
10,1,2つ名装備,紫毒姫シリーズ,150,G級810,0,20,0,-5,0,-15,"[""見切り+2"", ""真・紫毒姫の魂"", ""会心撃【特殊】"", ""紫毒姫の魂""]","[[""達人"", ""+"", ""15""], [""真・紫毒姫"", ""+"", ""10""], [""特殊会心"", ""+"", ""10""], [""紫毒姫"", ""+"", ""10""]]",http://mh-x.com/weapon/series/剣士紫毒姫.html,1
